Profile,Growth %,Defensive %,Expected Return,Volatility,Sharpe Ratio,Exponential Utility,Downside Volatility,Sortino Ratio
Defensive,30.0,70.0,0.055939999999581075,0.027505639198376258,1.3066411487613319,-0.9455958699409504,0.02194632485139852,1.6376318241407426
Balanced,70.0,30.0,0.0812003652799721,0.07440386894763201,0.8225427809815509,-0.9220089343575041,0.05936569829731533,1.0309044959509848
Aggressive,90.0,10.0,0.09455872869499399,0.08877081581482442,0.8399013573393671,-0.9097743031995004,0.07082886338852325,1.0526602451039064
