return,net_return,volatility,sharpe_ratio,growth_weight,weighted_fee
0.06181882985861255,0.060275829858612545,0.04602963062286539,0.9085197793839971,0.6399999999999998,0.0015429999999999997
0.06186846757209706,0.060327522903094594,0.04605293532441862,0.909137870955582,0.6399999999999999,0.001540944669002469
0.06191810526716872,0.06037921592840137,0.04607754351493869,0.9097296007886911,0.6399999999999999,0.0015388893387673524
0.06196774297194664,0.06043090896381631,0.046103453120756734,0.910295002459412,0.6399999999999999,0.0015368340081303316
0.06201738067296003,0.060482601995310845,0.0461306619422366,0.9108341156164832,0.6399999999999999,0.0015347786776491877
0.06206701837905958,0.060534295032102135,0.04615916768678453,0.9113469866811192,0.6399999999999999,0.0015327233469574434
0.06211665611125655,0.06058598809607146,0.046188967966484785,0.9118336686330998,0.6399999999999999,0.0015306680151850923
0.062166293821400626,0.060637681137074746,0.046220060248673256,0.912294220183562,0.6399999999999999,0.0015286126843258774
0.062215931493402814,0.06068937413835682,0.04625244191533038,0.9127287067498665,0.6399999999999999,0.0015265573550459902
0.062265569142377644,0.060741067115658055,0.046286110267733355,0.9131372002940051,0.6399999999999999,0.0015245020267195884
0.062315206907861014,0.06079276021429206,0.0463210625984439,0.9135197798610636,0.6399999999999998,0.0015224466935689586
0.062364844637257125,0.06084445327534454,0.046357295899043756,0.9138765282927344,0.64,0.0015203913619125829
0.06241448231278017,0.06089614628029326,0.04639480715178863,0.914207535641087,0.6399999999999999,0.0015183360324869083
0.06246412001729338,0.06094783931543253,0.0464335933210689,0.9145128985317102,0.6399999999999999,0.0015162807018608484
0.06251375772219947,0.06099953235098095,0.04647365119365057,0.9147927186751335,0.6399999999999999,0.001514225371218521
0.06256339542765443,0.06105122538710097,0.04651497748419164,0.9150471037445912,0.6399999999999997,0.0015121700405534661
0.06261303313416969,0.06110271420628598,0.04655743761090002,0.9152787464444376,0.6399999999999999,0.0015103189278837079
0.06266267084464236,0.061153763074657926,0.046600920567693875,0.9154898728377973,0.6399999999999999,0.0015089077699844329
0.06271230854228635,0.06120547238062014,0.04664435837428508,0.9157014916906551,0.6399999999999999,0.001506836161666207
0.06276194624897383,0.06125685146964849,0.0466887775162755,0.9158934657063402,0.6399999999999999,0.00150509477932534
0.06281158395382722,0.061308230556027556,0.046733833407293986,0.9160725930765481,0.6399999999999997,0.0015033533977996626
0.06286122165875646,0.06135960964408684,0.04677952420917329,0.9162389396502568,0.6399999999999999,0.0015016120146696171
0.0629108593636678,0.06141098873191712,0.04682584806326615,0.9163925724461235,0.6399999999999998,0.0014998706317506836
0.06296049706744679,0.06146236781925052,0.04687280309159579,0.9165335596315025,0.6399999999999999,0.0014981292481962675
0.06301013477183645,0.06151374704930801,0.04692038740094125,0.9166619705056748,0.6399999999999999,0.0014963877225284388
0.06305977247472452,0.061565127895495814,0.046968599087784335,0.9167778752405578,0.6399999999999999,0.0014946445792287102
0.06310941018150618,0.061616497841876575,0.04701743635703976,0.9168813427883026,0.6399999999999999,0.001492912339629604
0.06315904788544371,0.06166788416771762,0.04706689679928769,0.9169724545361758,0.6399999999999999,0.0014911637177261008
0.06320868558186052,0.0617192632440067,0.047116978924634186,0.9170512746790246,0.6399999999999999,0.0014894223378538161
0.06325832329578654,0.06177037516586342,0.04716765746664975,0.9171183310592149,0.6399999999999999,0.0014879481299231157
0.06330796100143096,0.061818787997399705,0.047218660161420886,0.9171789469116473,0.6399999999999999,0.0014891730040312592
0.06335759870482494,0.06186828804319593,0.04727010552345375,0.9172308422986791,0.6399999999999999,0.0014893106616289992
0.06340723640527704,0.06191795505010693,0.04732196053352206,0.9172746842246339,0.6399999999999999,0.0014892813551701106
0.06345687411427478,0.061967461798721084,0.04737422094488758,0.9173105804701249,0.6399999999999999,0.0014894123155536983
0.06350651181917256,0.06201708643020836,0.04742688373818786,0.9173386145154074,0.6399999999999999,0.0014894253889642048
0.06355614952415996,0.06206649943888523,0.04747995111191096,0.9173587694203277,0.6399999999999999,0.0014896500852747253
0.06360578722816962,0.06211614868165948,0.04753341445203507,0.9173712372834327,0.6399999999999999,0.0014896385465101357
0.06365542493290272,0.06216575739383801,0.04758727770685826,0.9173759676236136,0.6399999999999998,0.0014896675390647016
0.06370506263804207,0.06221533332050901,0.04764153930428675,0.9173730168309132,0.6399999999999999,0.0014897293175330545
0.06375470034309766,0.06226500033794705,0.04769619549494628,0.9173624832977244,0.6399999999999999,0.0014897000051506074
0.06380433804754876,0.06231462858151213,0.04775124731970902,0.9173443733158525,0.6399999999999998,0.0014897094660366325
0.06385397575222976,0.06236409470062067,0.04780669649658085,0.9173186805611261,0.6399999999999999,0.0014898810516090876
0.06390361345702456,0.06242146834463346,0.047864405647482657,0.9172497362731503,0.6399999999999999,0.0014821451123910923
0.06395325116088882,0.06247025370990058,0.04792026328219297,0.9172163955372448,0.6399999999999997,0.0014829974509882379
0.06400288886666783,0.06251900552069029,0.047976529742879595,0.9171753168162081,0.6399999999999999,0.0014838833459775403
0.06405252657126353,0.06256778164194042,0.048033244003121436,0.917125784142349,0.6399999999999999,0.0014847449293231194
0.06410216427607315,0.06261645575390042,0.0480903530133348,0.9170688404770957,0.6399999999999999,0.00148570852217274
0.06415180198080359,0.06266502393323861,0.04814788261120506,0.9170040214920789,0.6399999999999999,0.00148677804756497
0.06420143968445066,0.06271352048277741,0.04820585496087458,0.9169309354709291,0.6399999999999999,0.001487919201673247
0.06425107738930429,0.0627619537042683,0.04826428396821348,0.9168493501001224,0.6399999999999999,0.0014891236850359758
