Asset,Min-Var Weight (%),Utility Weight (%),Blended Weight (%),Difference from Min-Var (%)
Int'l Listed Infrastructure [G],30.0,23.99999999999997,28.199999999999992,-1.8000000000000071
Int'l Listed Property [G],18.999999999999993,24.999999999999982,20.799999999999986,1.7999999999999932
Australian Fixed Income [D],21.000000000000004,5.000000000000006,16.2,-4.800000000000002
Australian Listed Equity [G],15.0,15.0,15.0,0.0
Cash [D],15.0,15.0,15.0,0.0
Int'l Fixed Income (Hedged) [D],0.0,16.000000000000014,4.800000000000004,4.800000000000004
