Strategy,Rebalance Frequency,Expected Return,Volatility,Sharpe Ratio,5th Percentile,95th Percentile,Transaction Costs
Static (Buy & Hold),Never,0.06391096177812192,0.030123835813993145,1.4576816196071671,0.015444972992032801,0.11463138453016129,0.0
Dynamic (Rebalance Every period),Every period,0.09997998332165628,0.08072647820083936,0.9907527877368082,-0.0338439760532465,0.22950048146111252,0.0024000000000000002
Dynamic (Rebalance Every 3 periods),Every 3 periods,0.09998345645245126,0.08073484740292755,0.9906931024873771,-0.03465522524612535,0.2293565502951333,0.0008
Dynamic (Rebalance Every 6 periods),Every 6 periods,0.10001607638094556,0.08073152889985316,0.9911378797273229,-0.033935672030759347,0.22847060818927872,0.0004
Dynamic (Rebalance Every 12 periods),Every 12 periods,0.1000635893415302,0.08069626852357586,0.9921597467439176,-0.03491597516691328,0.2287364630195253,0.0002
