Asset,Weight,Marginal Risk,Component Risk,Risk Contribution (%),Expected Return
Australian Listed Equity [G],0.18999999999999997,0.11888268367387052,0.022587709898035397,28.262589158023722,0.09917945184166035
Int'l Listed Equity (Hedged) [G],0.22,0.1138354837209107,0.025043806418600354,31.33574917320598,0.10416009814410848
Int'l Listed Equity (Unhedged) [G],0.04000000000000002,0.07065726800123916,0.0028262907200495677,3.536360871574834,0.1255058085370825
Australian Listed Property [G],0.06,0.15369491023616916,0.00922169461417015,11.538529908413585,0.10746718368911953
Int'l Listed Property [G],0.04000000000000002,0.12875464186885777,0.005150185674754313,6.444105332952786,0.043445021258877586
Int'l Listed Infrastructure [G],0.1,0.09202157938231338,0.009202157938231339,11.514084887290835,0.056316028617536935
Australian Fixed Income [D],0.2585750930801741,0.01566962098291798,0.004051773704189065,5.0697311095154225,0.030434224216853684
Int'l Fixed Income (Hedged) [D],0.09142490691982588,0.020095845364547792,0.0018372607919289964,2.298849559022841,0.028909062996298807
Cash [D],0.0,0.0003514136971507791,0.0,0.0,0.0333063830814754
