Portfolio,Expected Return,Volatility,Sharpe Ratio,Growth %,Tracking Error
Benchmark (MySuper Typical),0.0863807454799918,0.08204140189121745,0.8091127644065511,73.0,0.0
Optimized (1% Tracking Error),0.08459047373643896,0.07559872109475092,0.8543857991391828,70.00000000000001,0.009146992171648842
Optimized (2% Tracking Error),0.08340462165112719,0.07356000448738131,0.8619442330513152,69.99999999999999,0.01310365249799311
Optimized (3% Tracking Error),0.08284158246454398,0.07197759185653402,0.873071477437034,70.0,0.016293497481940436
