Portfolio,Expected Return (%),Volatility (%),Sharpe Ratio,Sortino Ratio,VaR 95% (%),CVaR 95% (%),Growth Allocation (%),Defensive Allocation (%),Diversification Ratio,Effective N Assets,Max Weight (%),Number of Positions
Minimum Variance,6.181882985861255,4.60296306228654,0.908519779383997,1.1386606835327227,1.389317501864415,3.3127078752007986,63.99999999999999,36.0,1.363681730049303,4.646840148698886,30.0,5
Utility Optimized,6.178155470972373,4.939121705601133,0.8459308597790175,1.0602171057524987,1.94597678044039,4.009834129009012,64.00000000000001,36.00000000000002,1.3274081610217026,5.1759834368530075,24.999999999999982,6
"Blended (30% Utility, 70% Min Var)",6.18076473139459,4.694887861366217,0.8904929904285261,1.1160674540844282,1.5416385955040703,3.50344059005666,63.99999999999999,36.00000000000001,1.354825284097348,5.093309428734417,28.199999999999992,6
