Strategy,Rebalance Frequency,Expected Return,Volatility,Sharpe Ratio,5th Percentile,95th Percentile,Transaction Costs
Static (Buy & Hold),Never,0.07285590296121398,0.05229919057428917,1.0106447610529272,-0.013102458656526858,0.15696564524775147,0.0
Dynamic (Rebalance Every period),Every period,0.11382016909304025,0.07339061833620006,1.2783673338634793,-0.011011520951600599,0.23199152729511915,0.0024000000000000002
Dynamic (Rebalance Every 3 periods),Every 3 periods,0.11391228069573534,0.07356281905264526,1.2766269958812613,-0.01089672373542867,0.23379431291365055,0.0008
Dynamic (Rebalance Every 6 periods),Every 6 periods,0.11393794030923896,0.07337957838093111,1.2801646232087138,-0.01009957226502246,0.23375245204641193,0.0004
Dynamic (Rebalance Every 12 periods),Every 12 periods,0.11398235668504807,0.07306125130236263,1.2863502199832826,-0.00821350854603608,0.23340446733242018,0.0002
