Asset,Weight,Marginal Risk,Component Risk,Risk Contribution (%),Expected Return
Australian Listed Equity [G],0.15,0.1153402591909153,0.017301038878637293,37.58674281006056,0.10070280502002796
Int'l Listed Equity (Hedged) [G],0.0,0.10730580919472199,0.0,0.0,0.10289196313255611
Int'l Listed Equity (Unhedged) [G],0.0,0.0999879180583523,0.0,0.0,0.10220603763949317
Australian Listed Property [G],2.7293672702872333e-17,0.12496424469009856,3.410733194133202e-18,7.4098643590655e-15,0.0889444901212835
Int'l Listed Property [G],0.18999999999999992,0.08566031428406354,0.016275459713972065,35.358658094221525,0.07081010792920323
Int'l Listed Infrastructure [G],0.3,0.037778124795657494,0.011333437438697249,24.6220473319795,0.0685210644235288
Australian Fixed Income [D],0.21000000000000002,0.0053946506909563945,0.0011328766451008429,2.461189954755105,0.037070278667355454
Int'l Fixed Income (Hedged) [D],0.0,0.005737543200351799,0.0,0.0,0.0359789176721723
Cash [D],0.15,-8.788035694700988e-05,-1.318205354205148e-05,-0.02863819101668664,0.032789405012376385
