Asset,Benchmark_Weight,Optimized_Weight,Active_Weight,Benchmark_Pct,Optimized_Pct,Active_Pct
Australian Listed Equity [G],0.25,0.20000000000000004,-0.04999999999999996,25.0,20.000000000000004,-4.9999999999999964
Int'l Listed Equity (Hedged) [G],0.13,0.10423331924602645,-0.02576668075397355,13.0,10.423331924602646,-2.576668075397355
Int'l Listed Equity (Unhedged) [G],0.25,0.3,0.04999999999999999,25.0,30.0,4.999999999999999
Australian Listed Property [G],0.06,0.009999999999999998,-0.05,6.0,0.9999999999999999,-5.0
Int'l Listed Property [G],0.02,0.015766680753973326,-0.004233319246026674,2.0,1.5766680753973326,-0.4233319246026674
Int'l Listed Infrastructure [G],0.02,0.06999999999999998,0.049999999999999975,2.0,6.999999999999998,4.999999999999997
Australian Fixed Income [D],0.16,0.19000000000000014,0.030000000000000138,16.0,19.000000000000014,3.0000000000000138
Int'l Fixed Income (Hedged) [D],0.07,0.02000000000000001,-0.049999999999999996,7.000000000000001,2.000000000000001,-5.0
Cash [D],0.04,0.09,0.049999999999999996,4.0,9.0,5.0
