Asset,Weight,Marginal Risk,Component Risk,Risk Contribution (%),Expected Return
Australian Listed Equity [G],0.20000000000000004,0.11581814384918399,0.0231636287698368,31.48943360085079,0.09917945184166035
Int'l Listed Equity (Hedged) [G],0.10423331924602645,0.11058467132241558,0.011526607349666249,15.669666458005116,0.10416009814410848
Int'l Listed Equity (Unhedged) [G],0.3,0.0891075328163085,0.02673225984489255,36.34075341781454,0.1255058085370825
Australian Listed Property [G],0.009999999999999998,0.13845593452637286,0.0013845593452637285,1.882217592171626,0.10746718368911953
Int'l Listed Property [G],0.015766680753973326,0.11311525191078325,0.0017834520652825908,2.424486074614812,0.043445021258877586
Int'l Listed Infrastructure [G],0.06999999999999998,0.08279950062214027,0.005795965043549817,7.87923421693656,0.056316028617536935
Australian Fixed Income [D],0.19000000000000014,0.01478869451913573,0.002809851958635791,3.8198093899216667,0.030434224216853684
Int'l Fixed Income (Hedged) [D],0.02000000000000001,0.016401810015987322,0.0003280362003197466,0.4459436926434919,0.028909062996298807
Cash [D],0.09,0.00039604344371156375,3.564390993404074e-05,0.048455557041401746,0.0333063830814754
