Asset,Weight,Marginal Risk,Component Risk,Risk Contribution (%),Expected Return
Australian Listed Equity [G],0.19,0.11888260091432949,0.022587694173722604,28.262702967114322,0.09917945184166035
Int'l Listed Equity (Hedged) [G],0.22,0.11383502335141496,0.02504370513731129,31.33577044421145,0.10416009814410848
Int'l Listed Equity (Unhedged) [G],0.039999999999999994,0.07065787383761422,0.0028263149535045686,3.5364078957355787,0.1255058085370825
Australian Listed Property [G],0.06,0.1536949928284584,0.009221699569707503,11.538590605402,0.10746718368911953
Int'l Listed Property [G],0.04000000000000001,0.12875394597772424,0.0051501578391089705,6.444100939255073,0.043445021258877586
Int'l Listed Infrastructure [G],0.1,0.0920210564098686,0.009202105640986861,11.5140738316609,0.056316028617536935
Australian Fixed Income [D],0.2586603813727115,0.015670352379771445,0.0040532993227964595,5.071663974017857,0.030434224216853684
Int'l Fixed Income (Hedged) [D],0.09133961862728858,0.020095613342496682,0.001835525658785099,2.296689342602801,0.028909062996298807
Cash [D],2.7105034494267947e-19,0.00035141831411695135,9.525205526057455e-23,1.1918350426262675e-19,0.0333063830814754
