Profile,Growth %,Defensive %,Expected Return,Volatility,Sharpe Ratio,Exponential Utility,Downside Volatility,Sortino Ratio
Defensive,30.0,70.0,0.055940000003525794,0.03287179292846562,1.0933385982850734,-0.9455958699372202,0.026227896063531528,1.370296722103395
Balanced,70.0,30.0,0.07520069989880208,0.05989724034193182,0.9215900362634593,-0.9275573069884447,0.047791083303525946,1.155041821258098
Aggressive,90.0,10.0,0.08395222659798138,0.07906208924991134,0.8088861198169398,-0.9194751815033754,0.06308242035732246,1.0137884094448502
