Strategy,Rebalance Frequency,Expected Return,Volatility,Sharpe Ratio,5th Percentile,95th Percentile,Transaction Costs
Static (Buy & Hold),Never,0.25958736978366503,0.1372687795918367,1.891088203417688,0.051500248407110094,0.4913302013402403,0.0
Dynamic (Rebalance Every period),Every period,0.3980254506822021,0.26626144840382776,1.4948669928307956,-0.02454393884681305,0.8391179192987455,0.0024000000000000002
Dynamic (Rebalance Every 3 periods),Every 3 periods,0.3984027247749924,0.2669330372145541,1.4925193559115961,-0.02769752114103785,0.8436736885759266,0.0008
Dynamic (Rebalance Every 6 periods),Every 6 periods,0.3984088500775793,0.2663100679274682,1.4960337518523308,-0.027570064432389962,0.8414938040793056,0.0004
Dynamic (Rebalance Every 12 periods),Every 12 periods,0.3984134792737568,0.2651745394581156,1.502457513786637,-0.0248360933519427,0.8395844729018367,0.0002
