Asset,Weight,Marginal Risk,Component Risk,Risk Contribution (%),Expected Return
Australian Listed Equity [G],0.0035985537086980716,0.0909689193258639,0.0003273565420163432,0.8576258261777532,0.10474870435922123
Int'l Listed Equity (Hedged) [G],3.6591823321385775e-17,0.10147699890473644,3.713228415106574e-18,9.728110419536066e-15,0.10925495846472627
Int'l Listed Equity (Unhedged) [G],1.9109063290057016e-17,0.09504555192064891,1.81623146709008e-18,4.758258389763285e-15,0.1083206656691651
Australian Listed Property [G],0.0,0.10458492428530408,0.0,0.0,0.10063899179266993
Int'l Listed Property [G],0.23640144629130175,0.09096077979070567,0.021503259898307432,56.33536730993498,0.07736545116881893
Int'l Listed Infrastructure [G],0.39999999999999997,0.04091399977145421,0.016365599908581684,42.875456393937604,0.07014169130934104
Australian Fixed Income [D],0.01024907262047947,-8.780425580069958e-05,-8.999121940885257e-07,-0.0023576371322497503,0.04855712725899612
Int'l Fixed Income (Hedged) [D],0.0,0.0029156713835326244,0.0,0.0,0.04334576064856067
Cash [D],0.34975092737952074,-7.212942823411339e-05,-2.5227334416235742e-05,-0.06609189291810912,0.045891558462834284
