Profile,Growth %,Defensive %,Expected Return,Volatility,Sharpe Ratio,Exponential Utility,Downside Volatility,Sortino Ratio
Defensive,30.0,70.0,0.05594000000018645,0.019342505593743394,1.8580839915492513,-0.9455958699403779,0.015433086580490916,2.328762934928291
Balanced,70.0,30.0,0.06327120556636459,0.03817008910229514,1.133641722721646,-0.9386888615202464,0.030455324779191,1.420809197737737
Aggressive,90.0,10.0,0.07085874949688693,0.05694094364527804,0.8931841701415939,-0.9315934708810496,0.04543229981211338,1.1194403476648727
