Strategy,Rebalance Frequency,Expected Return,Volatility,Sharpe Ratio,5th Percentile,95th Percentile,Transaction Costs
Static (Buy & Hold),Never,0.2117842543513373,0.08254672546482573,2.565628777625848,0.08123018829245265,0.34953910869001326,0.0
Dynamic (Rebalance Every period),Every period,0.3738492202466379,0.2999638912217502,1.2463140770842565,-0.08496183320044237,0.8889633895339979,0.0024000000000000002
Dynamic (Rebalance Every 3 periods),Every 3 periods,0.3738576041536117,0.30006665090867507,1.245915209242612,-0.08507876948256976,0.8906040939614897,0.0008
Dynamic (Rebalance Every 6 periods),Every 6 periods,0.37391911368319475,0.3000682900815659,1.2461133883275517,-0.08832991906439092,0.8912572704847024,0.0004
Dynamic (Rebalance Every 12 periods),Every 12 periods,0.37407297989169574,0.3000876034583382,1.2465459271916546,-0.08703544160206911,0.8895941561844176,0.0002
