return,volatility,sharpe_ratio,growth_weight
0.06327120556636459,0.03817008910229514,1.133641722721646,0.6399999999999999
0.06327120556636459,0.03817008910229514,1.133641722721646,0.6399999999999999
0.06327120556636459,0.03817008910229514,1.133641722721646,0.6399999999999999
0.06327120556636459,0.03817008910229514,1.133641722721646,0.6399999999999999
0.06327120556636459,0.03817008910229514,1.133641722721646,0.6399999999999999
0.06327120556636459,0.03817008910229514,1.133641722721646,0.6399999999999999
0.06327120556636459,0.03817008910229514,1.133641722721646,0.6399999999999999
0.06327120556636459,0.03817008910229514,1.133641722721646,0.6399999999999999
0.06421515923995447,0.038339735251269144,1.1532463369968322,0.6399999999999999
0.07224205417327899,0.04865897264273284,1.0736366046372183,0.6567534494981158
0.0802689490763597,0.06535790062198772,0.9221371632626156,0.76
0.08829584398470106,0.08441975471979679,0.8090031084713089,0.7600000000000001
